name,address,email,image,description,amenities,star,types,phone,price,rating,review_Count,url,timestamp
Platanista Hotel,,,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/7f/9f/82/pool.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/7f/a2/10/hotel-area.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/7f/a1/a5/reception-area.jpg?w=700&h=-1&s=1","Designed to recreate the look of a castle, the family-run Platanista consistently wins awards for its high standards, excellent value for money & caring staff. This impressive hotel is in a quiet position only 200m from the beach, 2km from Kos town, & 1km from the marina. A simple, yet aesthetic, environment worked out to accommodate the visitors who would want to experience something exceptional from the ordinary. A thousand and one nights in Greece...",[],,,,[],4.5,,https://www.tripadvisor.com/Hotel_Review-g663504-d284785-Reviews-Platanista_Hotel-Psalidi_Kos_Dodecanese_South_Aegean.html,2024-04-30T07:18:04Z
Pension George,,,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/16/f1/ae/pension-george.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/76/e2/ef/one-of-the-rooms.jpg?w=600&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/16/f2/7c/pension-george.jpg?w=700&h=-1&s=1","If you’re looking for a family-friendly hotel in Karterádhos, look no further than Pension George. Pension George offers guests an array of room amenities including a flat screen TV, a refrigerator, and a kitchenette, and getting online is possible, as free wifi is available. The hotel offers a picnic area, outdoor furniture, and a sun terrace, to make your visit even more pleasant. The property also features a pool. During your visit, be sure to check out a popular Karterádhos shrimp restaurant such as Taverna - Skaramagas, which is a short distance from Pension George. The staff at Pension George looks forward to serving you during your upcoming visit.",[],,,,[],4.5,,https://www.tripadvisor.com/Hotel_Review-g644212-d253978-Reviews-Pension_George-Karteradhos_Santorini_Cyclades_South_Aegean.html,2024-04-30T07:18:10Z
Island Blue Hotel,,,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/92/bb/76/island-blue-hotel.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/18/59/6a/island-blue-hotel.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/18/59/5b/island-blue-hotel.jpg?w=600&h=-1&s=1","Welcome to a world of Sun kissed days and deep blue Seas...Enjoy the fabled Greek hospitality...Welcome to our World...Spread over a 12000m2 area, this newly built (2009) complex has 34 self catering apartments & 52 guestrooms. Modern in design , the complex is adjacent to Pefki Islands Resort.Two expansive pools with separate children’s swimming pools & free sun beds are available, along with pool bar, billiards, game room, playground, snack bar, restaurant & a nearby super market.A brand new restaurant and Lounge Bar named ELIA is now open on our new complex ISLAND BLUE HOTEL. It is open for Breakfast, Lunch & Dinner.You can make reservations or arrangements for all your special occasions at reception.",[],,,,[],4.5,,https://www.tripadvisor.com/Hotel_Review-g12791877-d1386054-Reviews-Island_Blue_Hotel-Pefki_Rhodes_Dodecanese_South_Aegean.html,2024-04-30T07:18:17Z
Eltina Apartments,,,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/cc/61/48/hotel-eltina.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/10/17/7e/hotel-eltina.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/11/2c/37/hotel-eltina.jpg?w=700&h=-1&s=1","21 Studios and apartments from 1 to 4 persons, 2 swimming pools, 2 snack bars (one 24hours open), sun terrace , sun beds, reception, free wifi in public areas, Wi- Fi in all rooms and places of Hotel*, Internet corner *,full kitchen in rooms , a/c*,fan*, safe box*, late check out*, shower curtains, hair dryer(* extra charge, paid locally ).",[],,,,[],5.0,,https://www.tripadvisor.com/Hotel_Review-g616162-d661254-Reviews-Eltina_Apartments-Malia_Crete.html,2024-04-30T07:18:29Z
Villa Margarita Mykonos,,,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/8a/ef/9f/villa-margarita-mykonos.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/e3/73/41/villa-margarita-mykonos.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/e3/72/b5/villa-margarita-mykonos.jpg?w=700&h=-1&s=1","Villa Margarita is a traditionally-built group of apartments and rooms to let, and definitely a value-for-money choice for unique, unforgettable holidays at the wonderful island of Mykonos, Greece! It is situated just 800m far from Mykonos capital town (where there is the picturesque Port Area, the island's heart of shopping and an exciting nightlife with fancy restaurants and famous bars) overlooking Megali Ammos beach having a memorable view of the sunset.",[],,,,[],4.5,,https://www.tripadvisor.com/Hotel_Review-g662620-d617855-Reviews-Villa_Margarita_Mykonos-Mykonos_Town_Mykonos_Cyclades_South_Aegean.html,2024-04-30T07:18:35Z
Aloe Boutique & Suites,,,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/da/44/43/aloe-boutique-suites.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/da/44/11/aloe-boutique-suites.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/b7/7b/23/sharing-pool-suite.jpg?w=700&h=-1&s=1","Aloe Boutique & Suites is a brand new, 5* modern accommodation facility, located in the picturesque village of Almyrida in Chania. The hotel is an adults only concept and offers 57 luxurious rooms in various categories. The design of the hotel was made with love and imagination, creating maximum comfort and relaxation for the guests. Few steps from the hotel is the crystal clear waters of the Cretan sea and the golden beach of Almyrida bay. Facilities include gym, sauna & wellness club. Aloe Boutique & Suites shares one core concept, inspired by modern Cretan architecture with every room having its own individuality. Welcome to your Holiday Elixir!",[],,,,[],4.5,,https://www.tripadvisor.com/Hotel_Review-g775923-d14761491-Reviews-Aloe_Boutique_Suites-Almyrida_Chania_Prefecture_Crete.html,2024-04-30T07:18:41Z
Savoy Sharm El Sheikh,,,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/20/b4/7a/savoy-sharm-el-sheikh.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/1a/90/b1/savoy-sharm-el-sheikh.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/1a/8f/c1/savoy-sharm-el-sheikh.jpg?w=700&h=-1&s=1","Savoy Sharm El Sheikh is located near Ras Mohammed National Park inside SOHO SQUARE, the 5-star hotel offers 136 sea view rooms, 55 pool view rooms, 161 garden view rooms, 46 triple rooms, 2 special care rooms, 13 diplomatic suites, and 1 presidential suite. The hotel also features a private beach, 5 swimming pools 3 adult pools (2 heated in winter time) and 2 children's pools (1 heated in winter time) , 5 Bars (1 pool Bar) , and 6 restaurants Savoy hotel offers different types of meal plans that ensures you trying everything starting from the hotel’s main restaurant to Soho Square different restaurants and cuisines; standard Bed and breakfast, half board, full board, S-Class (ultra all-inclusive concept) , and half and full board dine around option (which SOHO Square restaurants as well) Diving or at least snorkeling with a PADI approved dive school on the beach. In the hotel we can find tennis, squash and beach volleyball courts as well as a modern gym facility . Sauna and Jacuzzis, as well as a range of beauty and spa treatments. Each room features adjustable air conditioning, WiFi access, mini-bar, en suite bathroom and hairdryer, and a private terrace overlooking our gardens , pools, or the beach.",[],,,,[],4.5,,https://www.tripadvisor.com/Hotel_Review-g297555-d464191-Reviews-Savoy_Sharm_El_Sheikh-Sharm_El_Sheikh_South_Sinai_Red_Sea_and_Sinai.html,2024-04-30T07:27:53Z
Pyramisa Hotel Luxor,,,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/52/8a/97/pyramisa-hotel-luxor.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/0a/6d/94/caption.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/0a/6d/93/caption.jpg?w=700&h=-1&s=1","The biggest 4 star hotel directly on the Nile in the heart of Luxor. Most of the large 350 rooms and 100 family suites enjoy panoramic views of the Nile, gardens and 2 large swimming pools. In addition to a heated swimming-pool, resort facilities include Italian, Chinese and oriental restaurants, bar, lounge, children playground and a gym.",[],,,,[],3.5,,https://www.tripadvisor.com/Hotel_Review-g294205-d317343-Reviews-Pyramisa_Hotel_Luxor-Luxor_Nile_River_Valley.html,2024-04-30T07:29:00Z
Iberotel Luxor,,,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/d8/33/bf/outdoor-pool-night-view.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/89/fa/94/iberotel-luxor.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/89/fa/60/iberotel-luxor.jpg?w=700&h=-1&s=1","Iberotel Luxor has an excellent location direclty overlooking the banks of the Nile & is ideal for romantic getaways, honeymoons or those fascinated by the marvels and mysteries of ancient Egypt. Centrally located in Luxor, it's just ten minutes walking from the Temple of Luxor. This four-star property offers spectacular views of the river, the west bank & the distant hills of Thebes from its rooms & from the verdant garden terrace. Near the hotel, the ferry crossing to the west bank will allow you to visit the Valley of the Kings, Valley of the Queens, Hatshepsut Temple and the Memnon Colossus while the Temple of Karnak is just three km away. The hotel is the winner of Tripadvisor Certificate of Excellence for 2012 & 2011, the winner of E-cristal certificate for 2012,Iso -14001 for 2012, Travelife Gold Award winner for 2011 & 2010 & the Cristal Certificate of Excellence 2010.",[],,,,[],4.0,,https://www.tripadvisor.com/Hotel_Review-g294205-d583301-Reviews-Iberotel_Luxor-Luxor_Nile_River_Valley.html,2024-04-30T07:29:07Z
Cherry Maryski Hotel,,,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/a3/72/3b/executive-junior-suite.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/1e/e6/6f/hotel-entrance.jpg?w=700&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/8a/0f/2b/swimming-pool.jpg?w=700&h=-1&s=1","One of Alexandria's business hotels, Cherry Maryski Hotel, enjoys one of the most idyllic locations, founded in the downtown area within 5 minutes walking distance of many historical sites. The city hotel is perfectly positioned near most of the vital zones & easy access to some of the most remarkable areas in Alexandria. The 4 star city hotel offers 192 guestrooms, all of which have been designed to ensure your stay with us to be as enjoyable as possible.",[],,,,[],3.5,,https://www.tripadvisor.com/Hotel_Review-g295398-d1887674-Reviews-Cherry_Maryski_Hotel-Alexandria_Alexandria_Governorate.html,2024-04-30T07:29:28Z
